2017-01-19 17:05 +08:00: 制作矩形图
2017-01-19 17:05 +08:00: type 类型 ro
2017-01-19 17:05 +08:00: 视图sql 语句 select * from dbo.GIS_MileageReport where ReportDate ='2017-01-18'
2017-01-19 17:05 +08:00: connect success
2017-01-19 17:05 +08:00: the datacounts 79
2017-01-19 17:05 +08:00: 进入视图RECT ORG 操作
2017-01-19 17:05 +08:00: RECT ORG 有不同的部门数量 35
2017-01-19 17:05 +08:00: Rect ORG 外层循环
2017-01-19 17:05 +08:00: Rect ORG 内层循环
2017-01-19 17:05 +08:00: Rect ORG 确定
2017-01-19 17:05 +08:00: Rect ORG 内层循环
2017-01-19 17:05 +08:00: Rect ORG 内层循环
2017-01-19 17:05 +08:00: Rect ORG 内层循环
2017-01-19 17:05 +08:00: Rect ORG 内层循环
2017-01-19 17:05 +08:00: Rect ORG 内层循环
2017-01-19 17:05 +08:00: Rect ORG 内层循环
2017-01-19 17:05 +08:00: Rect ORG 内层循环
2017-01-19 17:05 +08:00: Rect ORG 内层循环
2017-01-19 17:05 +08:00: Rect ORG 内层循环
2017-01-19 17:05 +08:00: Rect ORG 内层循环
2017-01-19 17:05 +08:00: Rect ORG 内层循环
2017-01-19 17:05 +08:00: Rect ORG 内层循环
2017-01-19 17:05 +08:00: Rect ORG 内层循环
2017-01-19 17:05 +08:00: Rect ORG 内层循环
2017-01-19 17:05 +08:00: Rect ORG 内层循环
2017-01-19 17:05 +08:00: Rect ORG 内层循环
2017-01-19 17:05 +08:00: Rect ORG 内层循环
2017-01-19 17:05 +08:00: Rect ORG 内层循环
2017-01-19 17:05 +08:00: Rect ORG 内层循环
2017-01-19 17:05 +08:00: Rect ORG 内层循环
2017-01-19 17:05 +08:00: Rect ORG 内层循环
2017-01-19 17:05 +08:00: Rect ORG 内层循环
2017-01-19 17:05 +08:00: Rect ORG 内层循环
2017-01-19 17:05 +08:00: Rect ORG 内层循环
2017-01-19 17:05 +08:00: Rect ORG 内层循环
2017-01-19 17:05 +08:00: Rect ORG 内层循环
2017-01-19 17:05 +08:00: Rect ORG 内层循环
2017-01-19 17:05 +08:00: Rect ORG 内层循环
2017-01-19 17:05 +08:00: Rect ORG 内层循环
2017-01-19 17:05 +08:00: Rect ORG 内层循环
2017-01-19 17:05 +08:00: Rect ORG 内层循环
2017-01-19 17:05 +08:00: Rect ORG 内层循环
2017-01-19 17:05 +08:00: Rect ORG 内层循环
